Image Name,No of Obj,WARem_multiband,N-Cut,RAG Merging
boatscn2174,2,0.9713,0.9316,0.7628
by_the_north_sea15,2,0.8894,0.8713,0.5373
chaom69,2,0.9539,0.9491,0.9458
cocotort,2,0.5624,0.3134,0.4395
crw_5052,2,0.9153,0.6,0.3016
decorwall,2,0.7742,0.6986,0.6295
dsc00103_h,2,0.8873,0.991,0.9957
dscf1479_c,2,0.6468,0.678,0.4514
dscf3208a,2,0.5824,0.9064,0.8833
dscn0969,2,0.8852,0.763,0.7255
dscn1205_cropped,2,0.9827,0.9461,0.699
dscn5449,2,0.9341,0.9177,0.8139
dsc_18501299,2,0.9918,0.9928,0.9928
dsc_7742,2,0.8736,0.9288,0.922
dualwindows,2,0.5313,0.2457,0.2287
eagle052607__20_,2,0.9896,0.9805,0.9805
elke_p9270005,2,0.3312,0.2701,0.3636
fair_gforce_003,2,0.9016,0.3257,0.3134
fishing_on_water,2,0.6579,0.6188,0.4047
footprints10morguejpg,2,0.8963,0.8023,0.8529
frankfurt_img_2243,2,0.5913,0.4259,0.3143
frosty_thyme,2,0.3435,0.7598,0.7432
hotblack_20070901_cows,2,0.5533,0.4422,0.5202
hpim0242_cropped,2,0.3582,0.9554,0.4511
hpim1928,2,0.7899,0.5039,0.3981
imgp1883,2,0.8883,0.4124,0.4124
img_0121,2,0.6561,0.3172,0.2674
img_1159_i,2,0.65,0.9341,0.3677
img_3733_modif,2,0.9798,0.9678,0.6244
img_7103r,2,0.3824,0.4216,0.4746
img_7121sepiar,2,0.8685,0.5553,0.4261
istambulminaret,2,0.7295,0.7468,0.5013
jarndt_100_0021,2,0.7083,0.3889,0.5016
kata_beach_phuket,2,0.9824,0.5343,0.4256
kumarnm_100_1263,2,0.7695,0.9312,0.7044
mf_3379,2,0.9575,0.9324,0.9343
mont_st_michel,2,0.925,0.4291,0.3062
moon_and_a_tree,2,0.7765,0.7375,0.7456
ninetyeight,2,0.8563,0.8084,0.7203
nopeeking,2,0.5791,0.8311,0.7712
p5014757_cropped,2,0.7545,0.6171,0.3636
p5067537,2,0.545,0.9433,0.9279
pb134930,2,0.9354,0.5834,0.2585
pc250176,2,0.8424,0.5836,0.5532
pc302982,2,0.9882,0.9663,0.8967
per__02_cropped,2,0.9332,0.9283,0.4346
photo-026,2,0.9094,0.9824,0.9234
photo_sanary_19-03-05_083,2,0.9366,0.6186,0.4209
pic1077114394,2,0.9487,0.912,0.6904
pic108459418417,2,0.8594,0.9653,0.9612
pic108891392790,2,0.8427,0.6984,0.5544
pic1091719254143,2,0.2979,0.9429,0.3098
pic1092554512177,2,0.7283,0.2981,0.2951
reverendb_563667_59178524,2,0.8173,0.962,0.7971
rollingroscoe__9231871,2,0.956,0.9001,0.6444
roman-pot-31-01-07-02842,2,0.4171,0.373,0.2157
sakurag060521_dysn34,2,0.9541,0.8673,0.5658
sh-med-bandages-082404-01,2,0.876,0.9684,0.9684
sunday_6-24_003,2,0.9561,0.974,0.974
swan_and_friend,2,0.7298,0.3422,0.2797
thailand-bangkok-building_02,2,0.9785,0.6644,0.3947
toplessmonument,2,0.6348,0.4831,0.483
whitby-pier,2,0.8756,0.5401,0.3972
yack1,2,0.9656,0.8859,0.7913
yokohm060409_dyjsn266,2,0.8187,0.515,0.8831
_3076180_cropped,2,0.9252,0.9247,0.9203
_3076180_cropped2,2,0.6951,0.8914,0.8971
_5161812,2,0.8575,0.9415,0.9254
_mg_5707,2,0.4811,0.9703,0.4078
